Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
LLaVA_ViT_L14_336_CONV,BLK22_QKV,256,42541056,6.06882e+06,42.6667,7030.47,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99084e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK22_ATTN_QKT,256,8031840,3.37898e+06,42.446,12561.8,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK22_ATTN_AV,256,8862720,996874,38.4667,38587.3,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK22_ATTN_PROJ,256,14180352,1.26303e+06,42.6667,33781.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK22_MLP_FC1,256,56721408,3.78369e+06,42.6667,11276.5,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK22_MLP_FC2,256,56721408,6.77342e+06,42.6667,6299.13,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK23_QKV,256,42541056,6.06884e+06,42.6667,7030.45,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK23_ATTN_QKT,256,8031840,3.37898e+06,42.446,12561.8,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK23_ATTN_AV,256,8862720,996874,38.4667,38587.3,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK23_ATTN_PROJ,256,14180352,1.26303e+06,42.6667,33781.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK23_MLP_FC1,256,56721408,3.78369e+06,42.6667,11276.5,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK23_MLP_FC2,256,56721408,6.77342e+06,42.6667,6299.13,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK24_QKV,256,42541056,6.06884e+06,42.6667,7030.45,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK24_ATTN_QKT,256,8031840,3.37898e+06,42.446,12561.8,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK24_ATTN_AV,256,8862720,996874,38.4667,38587.3,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK24_ATTN_PROJ,256,14180352,1.26303e+06,42.6667,33781.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK24_MLP_FC1,256,56721408,3.78369e+06,42.6667,11276.5,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK24_MLP_FC2,256,56721408,6.77342e+06,42.6667,6299.13,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,VISION_TO_LLM_PROJ,256,56721408,6.76564e+06,42.6667,6306.38,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,3.57707e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM0,256,25165824,5.27062e+06,42.6667,8095.19,4.19047e+08,3375.53,160,32.9961,160,1,160,648,6,1,1,524288,8388608,2.03722e+11,1073741824,312.909,5.2992,2.2356,3055.08,1073741824, 268402752, 268402752, 524288, 4.00049, 1073741824, 8388608, 8388608, 8388608, 128, 1073741824, 1073741824, 262144, 16777216, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM1,256,25165824,3.06124e+06,42.6667,13937.7,4.19047e+08,3375.53,160,32.9961,160,1,160,648,6,1,1,524288,8388608,3.50754e+11,1073741824,312.909,5.2992,2.2356,3055.08,1073741824, 268402752, 268402752, 524288, 4.00049, 1073741824, 8388608, 8388608, 8388608, 128, 1073741824, 1073741824, 262144, 16777216, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM2,256,94371840,6.45763e+06,42.6667,6607.17,4.19047e+08,3375.53,160,32.3984,160,1,160,648,6,1,1,1310720,12582912,6.23531e+11,4026531840,312.909,5.2992,2.2356,3055.08,4026531840, 1006583872, 1006583872, 1310720, 4.0002, 4026531840, 12582912, 12582912, 12582912, 320, 4026531840, 4026531840, 983040, 62914560, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM3,256,25165824,7.91193e+06,42.6667,5392.7,4.19047e+08,3375.53,160,32.9961,160,1,160,648,6,1,1,524288,8388608,1.35712e+11,1073741824,312.909,5.2992,2.2356,3055.08,1073741824, 268402752, 268402752, 524288, 4.00049, 1073741824, 8388608, 8388608, 8388608, 128, 1073741824, 1073741824, 262144, 16777216, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM4,256,25165824,3.06124e+06,42.6667,13937.7,4.19047e+08,3375.53,160,32.9961,160,1,160,648,6,1,1,524288,8388608,3.50754e+11,1073741824,312.909,5.2992,2.2356,3055.08,1073741824, 268402752, 268402752, 524288, 4.00049, 1073741824, 8388608, 8388608, 8388608, 128, 1073741824, 1073741824, 262144, 16777216, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM5,256,94371840,6.45763e+06,42.6667,6607.17,4.19047e+08,3375.53,160,32.3984,160,1,160,648,6,1,1,1310720,12582912,6.23531e+11,4026531840,312.909,5.2992,2.2356,3055.08,4026531840, 1006583872, 1006583872, 1310720, 4.0002, 4026531840, 12582912, 12582912, 12582912, 320, 4026531840, 4026531840, 983040, 62914560, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM6,256,94371840,1.13083e+07,42.6667,3773.03,4.19047e+08,3375.53,160,32.3984,160,1,160,648,6,1,1,1310720,12582912,3.56068e+11,4026531840,312.909,5.2992,2.2356,3055.08,4026531840, 1006583872, 1006583872, 1310720, 4.0002, 4026531840, 12582912, 12582912, 12582912, 320, 4026531840, 4026531840, 983040, 62914560, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM7,256,94371840,1.13083e+07,42.6667,3773.03,4.19047e+08,3375.53,160,32.3984,160,1,160,648,6,1,1,1310720,12582912,3.56068e+11,4026531840,312.909,5.2992,2.2356,3055.08,4026531840, 1006583872, 1006583872, 1310720, 4.0002, 4026531840, 12582912, 12582912, 12582912, 320, 4026531840, 4026531840, 983040, 62914560, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,LLM_GEMM8,256,94371840,1.13083e+07,42.6667,3773.03,4.19047e+08,3375.53,160,32.3984,160,1,160,648,6,1,1,1310720,12582912,3.56068e+11,4026531840,312.909,5.2992,2.2356,3055.08,4026531840, 1006583872, 1006583872, 1310720, 4.0002, 4026531840, 12582912, 12582912, 12582912, 320, 4026531840, 4026531840, 983040, 62914560, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,PATCH_EMBED,256,29196291,379607,11.8788,31292.4,4.19079e+08,4426.95,14,2.98516,14,1,14,5888,1176,1,1,338688,602112,9.13621e+11,346816512,312.909,1038.64,20.3136,3055.08,346816512, 86554188, 86554188, 338688, 4.00693, 346816512, 602112, 602112, 602112, 576, 346816512, 346816512, 106832896, 589824, 1, 1, 3, 1, 1, 1, 1, 198, 198, 198, 12, 4
LLaVA_ViT_L14_336_CONV,BLK01_QKV,256,14180353,2.66263e+06,128,48072.7,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,6.81688e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK01_ATTN_QKT,256,2677281,3.37898e+06,127.338,37685.3,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK01_ATTN_AV,256,2954241,996874,115.4,115762,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK01_ATTN_PROJ,256,4726785,1.26303e+06,128,101344,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK01_MLP_FC1,256,18907137,3.78369e+06,128,33829.4,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK01_MLP_FC2,256,18907137,6.77342e+06,128,18897.4,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK02_QKV,256,14180353,6.06884e+06,128,21091.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK02_ATTN_QKT,256,2677281,3.37898e+06,127.338,37685.3,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK02_ATTN_AV,256,2954241,996874,115.4,115762,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK02_ATTN_PROJ,256,4726785,1.26303e+06,128,101344,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK02_MLP_FC1,256,18907137,3.78369e+06,128,33829.4,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK02_MLP_FC2,256,18907137,6.77342e+06,128,18897.4,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK03_QKV,256,14180353,6.06884e+06,128,21091.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK03_ATTN_QKT,256,2677281,3.37898e+06,127.338,37685.3,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK03_ATTN_AV,256,2954241,996874,115.4,115762,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK03_ATTN_PROJ,256,4726785,1.26303e+06,128,101344,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK03_MLP_FC1,256,18907137,3.78369e+06,128,33829.4,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK03_MLP_FC2,256,18907137,6.77342e+06,128,18897.4,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK04_QKV,256,14180353,6.06884e+06,128,21091.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK04_ATTN_QKT,256,2677281,3.37898e+06,127.338,37685.3,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK04_ATTN_AV,256,2954241,996874,115.4,115762,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK04_ATTN_PROJ,256,4726785,1.26303e+06,128,101344,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK04_MLP_FC1,256,18907137,3.78369e+06,128,33829.4,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK04_MLP_FC2,256,18907137,6.77342e+06,128,18897.4,4.19047e+08,3375.53,160,32.221,160,1,160,648,6,1,1,2363392,4194304,3.57296e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 605012032, 605012032, 2363392, 4.00011, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 590848, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK05_QKV,256,14180353,6.06884e+06,128,21091.3,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,3145728,2.99083e+11,1815085056,312.909,5.2992,2.2356,3055.08,1815085056, 453722176, 453722176, 590848, 4.00043, 1815085056, 3145728, 3145728, 3145728, 577, 1815085056, 1815085056, 1772544, 28360704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK05_ATTN_QKT,256,2677281,3.37898e+06,127.338,37685.3,4.19047e+08,3375.53,160,32.2172,160,1,160,648,6,1,1,590848,590848,1.00894e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 85663744, 85663744, 590848, 3.97974, 340919296, 590848, 590848, 590848, 577, 340919296, 340919296, 332929, 5326864, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 254.676, 4
LLaVA_ViT_L14_336_CONV,BLK05_ATTN_AV,256,2954241,996874,115.4,115762,4.19047e+08,3375.53,160,32.2163,160,1,160,648,6,1,1,332929,590848,3.41988e+11,340919296,312.909,5.2992,2.2356,3055.08,340919296, 94519360, 94519360, 332929, 3.60687, 340919296, 655360, 655360, 590848, 520.202, 340919296, 340919296, 590848, 5908480, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK05_ATTN_PROJ,256,4726785,1.26303e+06,128,101344,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,1048576,4.79031e+11,605028352,312.909,5.2992,2.2356,3055.08,605028352, 151240768, 151240768, 590848, 4.00043, 605028352, 1048576, 1048576, 1048576, 577, 605028352, 605028352, 590848, 9453568, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
LLaVA_ViT_L14_336_CONV,BLK05_MLP_FC1,256,18907137,3.78369e+06,128,33829.4,4.19047e+08,3375.53,160,32.2184,160,1,160,648,6,1,1,590848,4194304,6.39617e+11,2420113408,312.909,5.2992,2.2356,3055.08,2420113408, 604962880, 604962880, 590848, 4.00043, 2420113408, 4194304, 4194304, 4194304, 577, 2420113408, 2420113408, 2363392, 37814272, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
